loading words... finished loading 5839 legal words.
considered guess BANED (313/5839), target ABETS (1/5839), score 0 -> 183
considered guess BANES (314/5839), target ABETS (1/5839), score 0 -> 27
considered guess BANGS (315/5839), target ABETS (1/5839), score 0 -> 160
considered guess BANJO (316/5839), target ABETS (1/5839), score 0 -> 772
considered guess BANKS (317/5839), target ABETS (1/5839), score 0 -> 148
considered guess BANTY (318/5839), target ABETS (1/5839), score 0 -> 138
considered guess BARDE (319/5839), target ABETS (1/5839), score 0 -> 291
considered guess BARDS (320/5839), target ABETS (1/5839), score 0 -> 268
considered guess BARED (321/5839), target ABETS (1/5839), score 0 -> 250
considered guess BARES (322/5839), target ABETS (1/5839), score 0 -> 54
considered guess BARFS (323/5839), target ABETS (1/5839), score 0 -> 226
considered guess BARGE (324/5839), target ABETS (1/5839), score 0 -> 225
considered guess BARIC (325/5839), target ABETS (1/5839), score 0 -> 1024
considered guess BARKS (326/5839), target ABETS (1/5839), score 0 -> 222
considered guess BARKY (327/5839), target ABETS (1/5839), score 0 -> 584
considered guess BARMS (328/5839), target ABETS (1/5839), score 0 -> 267
considered guess BARMY (329/5839), target ABETS (1/5839), score 0 -> 634
considered guess BARNS (330/5839), target ABETS (1/5839), score 0 -> 298
considered guess BARNY (331/5839), target ABETS (1/5839), score 0 -> 696
considered guess BARON (332/5839), target ABETS (1/5839), score 0 -> 1116
considered guess BARYE (333/5839), target ABETS (1/5839), score 0 -> 226
considered guess BASED (334/5839), target ABETS (1/5839), score 0 -> 27
considered guess BASER (335/5839), target ABETS (1/5839), score 0 -> 49
considered guess BASIC (336/5839), target ABETS (1/5839), score 0 -> 255
considered guess BASIL (337/5839), target ABETS (1/5839), score 0 -> 354
considered guess BASIN (338/5839), target ABETS (1/5839), score 0 -> 346
considered guess BASTE (339/5839), target ABETS (1/5839), score 0 -> 4
considered guess BATCH (340/5839), target ABETS (1/5839), score 0 -> 116
considered guess BATED (341/5839), target ABETS (1/5839), score 0 -> 19
considered guess BATES (342/5839), target ABETS (1/5839), score 0 -> 2
considered guess BATHE (343/5839), target ABETS (1/5839), score 0 -> 11
considered guess BATHS (344/5839), target ABETS (1/5839), score 0 -> 20
considered guess BATIK (345/5839), target ABETS (1/5839), score 0 -> 80
considered guess BATON (346/5839), target ABETS (1/5839), score 0 -> 211
considered guess BAUDS (347/5839), target ABETS (1/5839), score 0 -> 193
considered guess BAULK (348/5839), target ABETS (1/5839), score 0 -> 713
considered guess BAWDS (349/5839), target ABETS (1/5839), score 0 -> 143
considered guess BAWDY (350/5839), target ABETS (1/5839), score 0 -> 452
considered guess BAWLS (351/5839), target ABETS (1/5839), score 0 -> 193
